ID,suffix,layout,f,c,r,KL,h,KS_mean,p_cat,m_res2_ss,lo_disp_popsize,hi_disp_popsize
0,_1,circular,0.2,0.01,0.1,500,5,30,0.0005,0.01903057098388672,254.96582197941717,245.10154880953402
1,_1,circular,0.2,0.02,0.1,500,5,30,0.0005,0.011594295501708984,258.1760797952118,241.879377580925
2,_1,circular,0.2,0.03,0.1,500,5,30,0.0005,0.00855785608291626,261.100590979018,238.94682082467133
3,_1,circular,0.2,0.04,0.1,500,5,30,0.0005,0.006890296936035156,263.8946646440556,236.1471156310539
4,_1,circular,0.2,0.05,0.1,500,5,30,0.0005,0.005838960409164429,266.6131391416911,233.42450260682855
5,_1,circular,0.2,0.06,0.1,500,5,30,0.0005,0.0051159560680389396,269.282403192162,230.75206249603752
6,_1,circular,0.2,0.07,0.1,500,5,30,0.0005,0.004587143659591675,271.9173368468959,228.11460173152977
7,_1,circular,0.2,0.08,0.1,500,5,30,0.0005,0.0041822693022385855,274.52690598884726,225.50296068058242
8,_1,circular,0.2,0.09,0.1,500,5,30,0.0005,0.003861203887643151,277.116963691067,222.91116242324898
9,_1,circular,0.2,0.1,0.1,500,5,30,0.0005,0.0035994671849652006,279.69159968211034,220.33503546364665
10,_1,circular,0.2,0.12,0.1,500,5,30,0.0005,0.003196257353986518,284.8047597839284,215.21942854086385
11,_1,circular,0.2,0.14,0.1,500,5,30,0.0005,0.002897830158961425,289.88170125044593,210.14053843177894
12,_1,circular,0.2,0.16,0.1,500,5,30,0.0005,0.0026663102551253517,294.93128719456047,205.0893421177523
13,_1,circular,0.2,0.18,0.1,500,5,30,0.0005,0.0024803897440446644,299.95928958508324,200.05997186901624
14,_1,circular,0.2,0.2,0.1,500,5,30,0.0005,0.0023271105614635326,304.96966402816577,195.04841065053958
15,_1,circular,0.2,0.22,0.1,500,5,30,0.0005,0.002198118379745706,309.9652508666639,190.0517767130068
16,_1,circular,0.2,0.24,0.1,500,5,30,0.0005,0.002087746438535598,314.9481655105396,185.0679254486404
17,_1,circular,0.2,0.26,0.1,500,5,30,0.0005,0.0019920251745833813,319.92017325480424,180.09507097117702
18,_1,circular,0.2,0.28,0.1,500,5,30,0.0005,0.0019080627320192715,324.88223634007477,175.13223388674115
36,_1,circular,0.2,0.01,0.2,500,5,30,0.0005,0.023160934448242188,253.76477473085964,246.25659796982043
37,_1,circular,0.2,0.01,0.5,500,5,30,0.0005,0.02853870391845703,252.97975367582384,247.02459649513185
38,_1,circular,0.2,0.01,1.0,500,5,30,0.0005,0.032088279724121094,252.69159172236203,247.3096376955527
39,_1,circular,0.2,0.01,2.0,500,5,30,0.0005,0.03492927551269531,246.95920622682382,241.98738955720032
40,_1,circular,0.2,0.01,1.5,500,5,30,0.0005,0.03383922576904297,252.58903405764988,247.4115379341135
22,_1,circular,0.2,0.01,0.1,500,5,30,0.0006,0.021633625030517575,255.4055831172492,244.68472859737105
23,_1,circular,0.2,0.01,0.1,500,5,30,0.0007,0.024082183837890625,255.84078364723348,244.27479888271236
24,_1,circular,0.2,0.01,0.1,500,5,30,0.0008,0.026328086853027344,256.2579933962803,243.88405515476137
25,_1,circular,0.2,0.01,0.1,500,5,30,0.0009,0.028520584106445312,256.6817972250584,243.4892421917604
26,_1,circular,0.2,0.01,0.1,500,5,30,0.001,0.030576705932617188,257.09413080411787,243.10703347547732
104,_1,circular,0.2,0.01,0.1,500,5,30,0.0011,0.03266334533691406,257.52728120610925,242.7074548002532
105,_1,circular,0.2,0.01,0.1,500,5,30,0.0012,0.034572601318359375,257.9362352326815,242.3319215152795
106,_1,circular,0.2,0.01,0.1,500,5,30,0.0013,0.03646039962768555,258.35287795745376,241.95095297643826
