m_res,m_mut,fitness
1e-06,1e-06,0
1e-06,1.325711365590108e-06,-2.6978558191011918e-05
1e-06,1.757510624854793e-06,-2.8456355929608832e-05
1e-06,2.3299518105153717e-06,5.146080584573156e-05
1e-06,3.0888435964774785e-06,0.00021231604655027133
1e-06,4.094915062380427e-06,0.0003995384739904814
1e-06,5.428675439323859e-06,0.000610468284773096
1e-06,7.196856730011514e-06,0.0008412987407862905
1e-06,9.540954763499944e-06,0.0010890371094762147
1e-06,1.2648552168552958e-05,0.001352384983764735
1e-06,1.67683293681101e-05,0.0016309155891994695
1e-06,2.2229964825261955e-05,0.0019244670785292615
1e-06,2.94705170255181e-05,0.002233986189912301
1e-06,3.906939937054621e-05,0.002562414045288528
1e-06,5.1794746792312125e-05,0.0029145302674413814
1e-06,6.866488450042999e-05,0.003295537932816798
1e-06,9.102981779915228e-05,0.00370920848138206
1e-06,0.00012067926406393288,0.004157207326648806
1e-06,0.00015998587196060574,0.0046399107435357335
1e-06,0.00021209508879201905,0.005157149744741174
1e-06,0.0002811768697974231,0.005707923584113612
1e-06,0.0003727593720314938,0.006289539438947726
1e-06,0.0004941713361323833,0.006896730845877654
1e-06,0.0006551285568595509,0.007521174228768491
1e-06,0.000868511373751352,0.008152446126389152
1e-06,0.0011513953993264468,0.00877959268797131
1e-06,0.0015264179671752333,0.009391036354903341
1e-06,0.0020235896477251575,0.00997402988066057
1e-06,0.0026826957952797246,0.010515247331211229
1e-06,0.0035564803062231283,0.01100138191732922
1e-06,0.004714866363457394,0.011418420431799492
1e-06,0.0062505519252739694,0.01174968241837838
1e-06,0.008286427728546842,0.01197396445658474
1e-06,0.010985411419875572,0.012064348086475003
1e-06,0.014563484775012445,0.011987212674161127
1e-06,0.019306977288832496,0.011701874768028857
1e-06,0.025595479226995333,0.011162351354587785
1e-06,0.0339322177189533,0.010324307872813597
1e-06,0.04498432668969444,0.00916322158143651
1e-06,0.059636233165946365,0.007710156658740952
1e-06,0.07906043210907701,0.006099125503547471
1e-06,0.10481131341546852,0.004568099948859088
1e-06,0.1389495494373136,0.0033212264979267563
1e-06,0.18420699693267165,0.0023759222966159904
1e-06,0.244205309454865,0.0016194275436401987
1e-06,0.323745754281764,0.0009296268015735834
1e-06,0.42919342601287785,0.0002103715322641618
1e-06,0.5689866029018293,-0.0006183109339138983
1e-06,0.7543120063354607,-0.001634671284689125
1e-06,1.0,-0.0029268141909424084
1.325711365590108e-06,1e-06,-3.940739786290415e-06
1.325711365590108e-06,1.325711365590108e-06,0
1.325711365590108e-06,1.757510624854793e-06,-2.4304953591303665e-05
1.325711365590108e-06,2.3299518105153717e-06,-2.5567366122032388e-05
1.325711365590108e-06,3.0888435964774785e-06,5.204543956380236e-05
1.325711365590108e-06,4.094915062380427e-06,0.00021248189949495081
1.325711365590108e-06,5.428675439323859e-06,0.0003997695545336505
1.325711365590108e-06,7.196856730011514e-06,0.0006110000183945682
1.325711365590108e-06,9.540954763499944e-06,0.0008425340804377368
1.325711365590108e-06,1.2648552168552958e-05,0.001091621403647743
1.325711365590108e-06,1.67683293681101e-05,0.001357079346796939
1.325711365590108e-06,2.2229964825261955e-05,0.00163845233849191
1.325711365590108e-06,2.94705170255181e-05,0.0019358078843714082
1.325711365590108e-06,3.906939937054621e-05,0.002250705942855564
1.325711365590108e-06,5.1794746792312125e-05,0.0025867843626504986
1.325711365590108e-06,6.866488450042999e-05,0.0029491119332134474
1.325711365590108e-06,9.102981779915228e-05,0.0033424478700694146
1.325711365590108e-06,0.00012067926406393288,0.0037696817098597695
1.325711365590108e-06,0.00015998587196060574,0.0042317790976285725
1.325711365590108e-06,0.00021209508879201905,0.004728670418034083
1.325711365590108e-06,0.0002811768697974231,0.005259507769757167
1.325711365590108e-06,0.0003727593720314938,0.005822059506515408
1.325711365590108e-06,0.0004941713361323833,0.006411850283065504
1.325711365590108e-06,0.0006551285568595509,0.0070213852748155295
1.325711365590108e-06,0.000868511373751352,0.007640552217176056
1.325711365590108e-06,0.0011513953993264468,0.008258269116024855
1.325711365590108e-06,0.0015264179671752333,0.008862922573940179
1.325711365590108e-06,0.0020235896477251575,0.009441779078887444
1.325711365590108e-06,0.0026826957952797246,0.009981360050652005
1.325711365590108e-06,0.0035564803062231283,0.010468118908705177
1.325711365590108e-06,0.004714866363457394,0.010887937780228993
1.325711365590108e-06,0.0062505519252739694,0.01122432877758954
1.325711365590108e-06,0.008286427728546842,0.011456600896915616
1.325711365590108e-06,0.010985411419875572,0.011558622728406394
1.325711365590108e-06,0.014563484775012445,0.011497796274630377
1.325711365590108e-06,0.019306977288832496,0.011234658453905193
1.325711365590108e-06,0.025595479226995333,0.010724606556718664
1.325711365590108e-06,0.0339322177189533,0.009924843930317145
1.325711365590108e-06,0.04498432668969444,0.008812325168320893
1.325711365590108e-06,0.059636233165946365,0.007418265136185945
1.325711365590108e-06,0.07906043210907701,0.005872360298114766
1.325711365590108e-06,0.10481131341546852,0.004401337143031157
1.325711365590108e-06,0.1389495494373136,0.003198159483477352
1.325711365590108e-06,0.18420699693267165,0.002279711149610704
1.325711365590108e-06,0.244205309454865,0.001539099348595861
1.325711365590108e-06,0.323745754281764,0.000859012323575295
1.325711365590108e-06,0.42919342601287785,0.00014597613622903844
1.325711365590108e-06,0.5689866029018293,-0.0006785634114716693
1.325711365590108e-06,0.7543120063354607,-0.0016920766293482394
1.325711365590108e-06,1.0,-0.0029822162175618693
1.757510624854793e-06,1e-06,-4.7437437197772664e-07
1.757510624854793e-06,1.325711365590108e-06,-3.050101113497495e-06
1.757510624854793e-06,1.757510624854793e-06,0
1.757510624854793e-06,2.3299518105153717e-06,-2.167610656480934e-05
1.757510624854793e-06,3.0888435964774785e-06,-2.2656914816341513e-05
1.757510624854793e-06,4.094915062380427e-06,5.2757560688784724e-05
1.757510624854793e-06,5.428675439323859e-06,0.00021263984383821253
1.757510624854793e-06,7.196856730011514e-06,0.00039997928521858997
1.757510624854793e-06,9.540954763499944e-06,0.0006115476541872879
1.757510624854793e-06,1.2648552168552958e-05,0.0008438862741257868
1.757510624854793e-06,1.67683293681101e-05,0.0010944761902698056
1.757510624854793e-06,2.2229964825261955e-05,0.0013622125502044911
1.757510624854793e-06,2.94705170255181e-05,0.0016466737511867217
1.757510624854793e-06,3.906939937054621e-05,0.0019482996417633663
1.757510624854793e-06,5.1794746792312125e-05,0.0022693265324965494
1.757510624854793e-06,6.866488450042999e-05,0.0026139660229165173
1.757510624854793e-06,9.102981779915228e-05,0.002987269920713619
1.757510624854793e-06,0.00012067926406393288,0.0033932882333714805
1.757510624854793e-06,0.00015998587196060574,0.00383400158896638
1.757510624854793e-06,0.00021209508879201905,0.004309718065308536
1.757510624854793e-06,0.0002811768697974231,0.00481973240470738
1.757510624854793e-06,0.0003727593720314938,0.005362151269398997
1.757510624854793e-06,0.0004941713361323833,0.005933183092378779
1.757510624854793e-06,0.0006551285568595509,0.006526241354924743
1.757510624854793e-06,0.000868511373751352,0.007131782808185483
1.757510624854793e-06,0.0011513953993264468,0.007738734260504564
1.757510624854793e-06,0.0015264179671752333,0.008335433731488418
1.757510624854793e-06,0.0020235896477251575,0.008909172601120454
1.757510624854793e-06,0.0026826957952797246,0.009446346239711273
1.757510624854793e-06,0.0035564803062231283,0.009933162985495604
1.757510624854793e-06,0.004714866363457394,0.010355366946893442
1.757510624854793e-06,0.0062505519252739694,0.010696624140592803
1.757510624854793e-06,0.008286427728546842,0.010936725286205859
1.757510624854793e-06,0.010985411419875572,0.01105030780501121
1.757510624854793e-06,0.014563484775012445,0.01100578819402668
1.757510624854793e-06,0.019306977288832496,0.010764921490155257
1.757510624854793e-06,0.025595479226995333,0.010284497405166614
1.757510624854793e-06,0.0339322177189533,0.009523293093174241
1.757510624854793e-06,0.04498432668969444,0.008459763124979458
1.757510624854793e-06,0.059636233165946365,0.007125200766268602
1.757510624854793e-06,0.07906043210907701,0.005644815670346185
1.757510624854793e-06,0.10481131341546852,0.00423402266412022
1.757510624854793e-06,0.1389495494373136,0.003074706971260622
1.757510624854793e-06,0.18420699693267165,0.0021832324197616406
1.757510624854793e-06,0.244205309454865,0.0014585633360175182
1.757510624854793e-06,0.323745754281764,0.0007882188257581655
1.757510624854793e-06,0.42919342601287785,8.141774580430118e-05
1.757510624854793e-06,0.5689866029018293,-0.0007389687798873181
1.757510624854793e-06,0.7543120063354607,-0.0017496280720832795
1.757510624854793e-06,1.0,-0.0030377596173963893
2.3299518105153717e-06,1e-06,1.0591647325409565e-07
2.3299518105153717e-06,1.325711365590108e-06,-2.989930716297398e-07
2.3299518105153717e-06,1.757510624854793e-06,-2.3215811981253483e-06
2.3299518105153717e-06,2.3299518105153717e-06,0
2.3299518105153717e-06,3.0888435964774785e-06,-1.910369650743962e-05
2.3299518105153717e-06,4.094915062380427e-06,-1.9719049459353885e-05
2.3299518105153717e-06,5.428675439323859e-06,5.362832146803975e-05
2.3299518105153717e-06,7.196856730011514e-06,0.0002127909621171118
2.3299518105153717e-06,9.540954763499944e-06,0.000400161756367824
2.3299518105153717e-06,1.2648552168552958e-05,0.0006121056382977098
2.3299518105153717e-06,1.67683293681101e-05,0.0008453496782117111
2.3299518105153717e-06,2.2229964825261955e-05,0.0010975847588941387
2.3299518105153717e-06,2.94705170255181e-05,0.0013677666459765822
2.3299518105153717e-06,3.906939937054621e-05,0.001655606923462461
2.3299518105153717e-06,5.1794746792312125e-05,0.0019620419131545796
2.3299518105153717e-06,6.866488450042999e-05,0.002289976872236491
2.3299518105153717e-06,9.102981779915228e-05,0.0026439791352553385
2.3299518105153717e-06,0.00012067926406393288,0.003028755760531125
2.3299518105153717e-06,0.00015998587196060574,0.003447460227854452
2.3299518105153717e-06,0.00021209508879201905,0.003901174405530373
2.3299518105153717e-06,0.0002811768697974231,0.004389478964956557
2.3299518105153717e-06,0.0003727593720314938,0.0049107492832756745
2.3299518105153717e-06,0.0004941713361323833,0.0054617471395910205
2.3299518105153717e-06,0.0006551285568595509,0.006036778948990872
2.3299518105153717e-06,0.000868511373751352,0.006627090012279641
2.3299518105153717e-06,0.0011513953993264468,0.007221818480441686
2.3299518105153717e-06,0.0015264179671752333,0.007809276907572306
2.3299518105153717e-06,0.0020235896477251575,0.008376788847735541
2.3299518105153717e-06,0.0026826957952797246,0.008910658562283779
2.3299518105153717e-06,0.0035564803062231283,0.009396860106420515
2.3299518105153717e-06,0.004714866363457394,0.009820973971797351
2.3299518105153717e-06,0.0062505519252739694,0.010166778627621267
2.3299518105153717e-06,0.008286427728546842,0.010414510445055737
2.3299518105153717e-06,0.010985411419875572,0.010539552830855678
2.3299518105153717e-06,0.014563484775012445,0.010511324500769088
2.3299518105153717e-06,0.019306977288832496,0.01029279432844469
2.3299518105153717e-06,0.025595479226995333,0.009842157544157971
2.3299518105153717e-06,0.0339322177189533,0.009119799279011442
2.3299518105153717e-06,0.04498432668969444,0.00810568498259099
2.3299518105153717e-06,0.059636233165946365,0.0068310975533221385
2.3299518105153717e-06,0.07906043210907701,0.005416585942019955
2.3299518105153717e-06,0.10481131341546852,0.004066206531249988
2.3299518105153717e-06,0.1389495494373136,0.002950892495854791
2.3299518105153717e-06,0.18420699693267165,0.002086500830470211
2.3299518105153717e-06,0.244205309454865,0.0013778314615720006
2.3299518105153717e-06,0.323745754281764,0.0007172565929782177
2.3299518105153717e-06,0.42919342601287785,1.6705415058134875e-05
2.3299518105153717e-06,0.5689866029018293,-0.0007995188552352181
2.3299518105153717e-06,0.7543120063354607,-0.0018073180348797326
2.3299518105153717e-06,1.0,-0.003093437238307445
3.0888435964774785e-06,1e-06,2.248131922109363e-07
3.0888435964774785e-06,1.325711365590108e-06,1.555608107153914e-07
3.0888435964774785e-06,1.757510624854793e-06,-1.5969994399450322e-07
3.0888435964774785e-06,2.3299518105153717e-06,-1.7346905773245238e-06
3.0888435964774785e-06,3.0888435964774785e-06,0
3.0888435964774785e-06,4.094915062380427e-06,-1.6601348391005338e-05
3.0888435964774785e-06,5.428675439323859e-06,-1.6746206155002285e-05
3.0888435964774785e-06,7.196856730011514e-06,5.469001393244171e-05
3.0888435964774785e-06,9.540954763499944e-06,0.00021293315505104815
3.0888435964774785e-06,1.2648552168552958e-05,0.00040030319296311876
3.0888435964774785e-06,1.67683293681101e-05,0.000612655591833389
3.0888435964774785e-06,2.2229964825261955e-05,0.0008468976224727281
3.0888435964774785e-06,2.94705170255181e-05,0.001100903125364009
